Iso3,Country ,GHI Ranking,GHI Index Score by 2000 range (1998–2004) ,GHI Index Score by 2008 range (2005–2012) ,GHI Index Score by 2016 range (2013–2020),GHI Index Score by 2024 range (2021–2024),Absolute change since 2016,% change since 2016,"Undernourishment 
(% of population) 2000 ('00–'02)","Undernourishment 
(% of population) 2008 ('07–'09)","Undernourishment 
(% of population) 2016 ('15–'17)","Undernourishment 
(% of population) 2024 ('21–'23)",Child wasting 2000 ('98–'02)(% of children under five years old),Child wasting 2008 ('06–'10) (% of children under five years old),Child wasting ('14–'18) (% of children under five years old),Child wasting ('19–'23) (% of children under five years old),Child stunting ('98–'02) (% of children under five years old),Child stunting ('06–'10) (% of children under five years old),Child stunting ('14–'18) (% of children under five years old),Child stunting ('19–'23) (% of children under five years old),Child mortality 2000 (% of children under five years old),Child mortality 20008 (% of children under five years old),Child mortality 2016 (% of children under five years old),Child mortality 2024 (% of children under five years old)
GNQ,Equatorial Guinea,,,,,,—,—,—,—,—,—,9.2,2.1,1.9,2.3,42.7,22.6,19.1,19.2,15.5,12.0,9.0,7.3
ERI,Eritrea,,,,,,—,—,—,—,—,—,15.0,14.6,—,—,43.0,52.5,—,—,8.6,6.0,4.5,3.7
EST,Estonia,7.0,<5,<5,<5,<5,—,—,3.6,< 2.5,< 2.5,< 2.5,1.6,1.5,1.5,1.6,1.8,1.2,1.2,1.1,1.1,0.5,0.3,0.2
SWZ,Eswatini,74.0,24.8,24.9,19.6,15.7,-3.9,-19.9,10.4,11.5,15.9,12.4,1.7,1.1,2.0,1.8,36.5,40.4,25.5,20.0,11.4,10.4,6.1,5.0
ETH,Ethiopia,102.0,53.4,37.8,26.2,26.2,0.0,0.0,46.6,26.8,14.0,22.2,12.4,11.4,10.0,6.8,57.4,48.4,38.3,36.8,14.1,9.2,6.0,4.6
FJI,Fiji,53.0,9.6,8.8,10.6,10.2,-0.4,-3.8,4.0,3.7,7.5,7.8,7.3,6.6,7.0,4.6,7.0,5.9,6.2,7.2,2.3,2.3,2.2,2.8
GAB,Gabon,78.0,21.0,19.2,16.7,17.4,0.7,4.2,10.8,14.7,15.3,20.1,4.2,3.5,3.6,3.4,25.9,19.9,15.5,14.4,8.4,6.7,4.9,3.9
GMB,Gambia,88.0,29.0,23.1,17.8,19.9,2.1,11.8,17.9,11.3,12.1,20.5,9.1,8.5,6.1,5.1,24.1,25.5,16.3,17.5,11.3,8.0,5.7,4.6
GEO,Georgia,8.0,12.0,6.6,5.4,<5,—,—,7.3,3.6,6.7,4.0,3.1,1.3,0.6,0.6,16.1,11.8,5.8,5.1,3.6,1.7,1.0,0.9
GHA,Ghana,66.0,28.5,22.2,16.7,13.9,-2.8,-16.8,14.9,8.1,9.8,6.2,9.9,8.7,5.8,5.8,30.6,28.4,18.2,17.4,10.0,7.6,5.3,4.2
GTM,Guatemala,81.0,28.5,24.0,20.1,18.8,-1.3,-6.5,22.5,18.1,14.8,12.6,3.7,1.0,1.9,0.8,51.0,51.5,43.5,46.0,5.2,3.8,2.7,2.2
GIN,Guinea,95.0,40.1,31.5,28.2,23.2,-5.0,-17.7,17.9,17.7,13.2,10.3,10.3,7.2,8.1,6.4,46.9,34.0,32.4,26.1,16.6,12.7,11.0,9.6
GNB,Guinea-Bissau,114.0,37.6,29.6,30.2,30.5,0.3,1.0,15.7,16.1,28.3,32.2,11.8,5.9,6.0,6.4,33.8,32.0,27.6,27.9,17.3,12.6,8.9,7.2
GUY,Guyana,47.0,17.0,14.9,10.7,9.1,-1.6,-15.0,6.0,7.0,3.5,< 2.5,12.1,6.9,6.4,6.5,13.9,18.6,11.3,9.1,4.7,3.9,3.2,2.7
HTI,Haiti,122.0,39.8,39.8,30.0,34.3,4.3,14.3,48.1,46.1,39.1,50.4,5.5,10.2,3.7,5.0,28.8,29.6,21.9,22.0,10.3,8.3,6.8,5.6
HND,Honduras,73.0,21.5,18.7,13.9,15.6,1.7,12.2,21.2,20.0,14.4,20.4,1.3,1.4,1.3,1.9,35.5,29.8,22.2,18.7,3.7,2.6,2.0,1.6
HUN,Hungary,9.0,<5,<5,<5,<5,—,—,< 2.5,< 2.5,< 2.5,< 2.5,1.0,0.9,0.9,0.8,6.0,4.8,4.2,3.8,1.0,0.7,0.5,0.4
IND,India,105.0,38.4,35.2,29.3,27.3,-2.0,-6.8,18.3,15.6,11.5,13.7,17.7,20.0,20.8,18.7,51.0,47.8,37.9,35.5,9.2,6.5,4.1,2.9
IDN,Indonesia,77.0,25.7,28.2,18.3,16.9,-1.4,-7.7,18.2,16.5,6.7,7.2,5.5,14.8,10.2,10.0,42.3,40.1,30.8,26.8,5.2,3.7,2.6,2.1
IRN,Iran (Islamic Republic of),38.0,13.7,9.1,8.0,7.4,-0.6,-7.5,4.9,5.8,7.2,6.5,6.1,4.6,4.3,4.1,20.4,8.7,4.8,5.3,3.6,2.2,1.5,1.2
IRQ,Iraq,70.0,22.9,19.8,14.3,14.9,0.6,4.2,20.1,15.6,16.6,16.1,6.6,5.8,3.0,4.0,28.1,27.5,12.6,15.5,4.4,3.7,2.9,2.4
JAM,Jamaica,40.0,8.4,8.5,9.0,7.7,-1.3,-14.4,7.2,9.0,7.6,7.3,3.0,2.6,3.3,3.2,7.2,6.2,9.3,4.6,2.1,1.9,1.9,1.9
JOR,Jordan,59.0,10.5,7.5,7.8,12.0,4.2,53.8,8.9,6.4,7.8,17.9,2.5,1.6,1.8,2.3,11.7,8.2,8.0,8.3,2.7,2.1,1.7,1.4
KAZ,Kazakhstan,25.0,11.2,11.1,5.6,5.3,-0.3,-5.4,6.5,4.3,< 2.5,< 2.5,2.5,4.9,3.1,3.2,13.2,17.5,8.0,8.8,4.2,2.5,1.1,1.0
KEN,Kenya,100.0,36.3,29.0,24.0,25.0,1.0,4.2,31.9,26.9,21.8,34.5,7.4,6.9,6.7,4.5,40.8,35.5,28.6,17.6,9.6,5.8,4.6,4.1
PRK,Korea (DPR),118.0,43.7,30.5,26.2,31.4,5.2,19.8,36.0,40.5,44.2,53.5,12.2,5.2,2.5,6.4,51.0,32.4,19.1,16.8,10.3,3.2,2.0,1.7
KWT,Kuwait,10.0,<5,<5,<5,<5,—,—,2.6,< 2.5,< 2.5,< 2.5,2.1,2.3,2.3,3.4,3.9,5.1,6.3,6.3,1.3,1.1,0.9,0.9
KGZ,Kyrgyzstan,36.0,17.2,12.9,8.6,6.8,-1.8,-20.9,14.6,8.5,5.7,6.1,2.6,1.4,2.4,1.0,21.0,22.6,12.3,8.6,4.9,3.4,2.1,1.7
LAO,Lao PDR,87.0,44.2,30.3,21.2,19.8,-1.4,-6.6,31.1,18.5,7.1,5.4,17.5,7.4,9.4,10.7,47.5,47.7,34.3,32.8,10.7,7.5,5.1,4.0
LVA,Latvia,11.0,<5,<5,<5,<5,—,—,4.7,< 2.5,< 2.5,< 2.5,1.8,1.6,1.6,1.6,0.9,0.6,0.6,0.5,1.4,0.9,0.5,0.3
LBN,Lebanon,45.0,10.2,9.1,7.5,8.1,0.6,8.0,7.6,8.7,5.8,9.6,3.5,3.0,2.7,1.4,13.5,10.7,9.7,7.0,2.0,1.3,1.3,1.7
LSO,Lesotho,*,—,—,—,20–34.9*,—,—,—,—,—,—,6.1,3.8,2.5,2.2,43.6,42.0,34.0,31.6,11.1,11.0,7.8,7.2
LBR,Liberia,120.0,48.0,36.6,32.3,31.9,-0.4,-1.2,36.2,30.1,34.9,38.4,7.4,7.9,4.3,3.4,45.3,39.6,30.1,29.8,18.9,10.8,8.6,7.3
LBY,Libya,83.0,14.2,12.9,19.3,19.2,-0.1,-0.5,3.5,5.9,8.0,11.4,6.4,6.5,10.2,9.3,27.2,21.0,38.1,35.1,2.8,1.9,1.3,1.0
LTU,Lithuania,12.0,<5,<5,<5,<5,—,—,< 2.5,< 2.5,< 2.5,< 2.5,5.1,4.6,4.4,4.4,1.5,1.0,0.9,0.9,1.1,0.7,0.5,0.4
MDG,Madagascar,124.0,42.3,36.6,33.2,36.3,3.1,9.3,33.9,30.5,32.3,39.7,9.4,8.9,6.4,7.2,54.3,49.4,41.6,39.8,10.5,7.5,6.6,6.6
MWI,Malawi,93.0,43.0,28.1,22.8,21.9,-0.9,-3.9,23.3,15.7,15.8,19.9,6.8,1.9,3.6,2.8,54.7,48.8,38.6,34.8,17.3,9.3,5.3,4.0
MYS,Malaysia,61.0,15.4,13.7,13.4,12.7,-0.7,-5.2,2.5,3.6,3.0,< 2.5,15.3,13.2,11.6,11.0,20.7,17.5,20.8,21.2,1.0,0.8,0.8,0.8
MDV,Maldives,,,,,,—,—,—,—,—,—,13.4,10.6,9.1,9.0,31.9,19.0,15.3,13.7,3.9,1.6,0.9,0.6
MLI,Mali,96.0,41.9,31.8,24.7,24.0,-0.7,-2.8,16.6,8.7,4.4,9.6,12.6,12.2,10.6,10.6,42.5,32.7,26.4,21.8,18.8,14.3,11.2,9.4
MRT,Mauritania,91.0,30.4,18.8,22.3,21.1,-1.2,-5.4,8.1,6.9,6.9,9.3,15.3,8.1,14.8,13.6,38.6,23.6,27.9,25.1,9.8,6.1,4.8,3.9
MUS,Mauritius,62.0,15.4,13.9,13.4,12.8,-0.6,-4.5,5.8,5.1,6.9,5.9,14.7,13.8,12.4,12.5,12.5,11.1,9.3,8.4,1.9,1.5,1.5,1.5
MEX,Mexico,31.0,10.1,9.7,6.6,6.1,-0.5,-7.6,3.0,4.1,3.7,3.1,2.0,3.5,2.0,1.0,21.4,17.4,10.0,12.5,2.8,2.0,1.6,1.3
MDA,Moldova (Republic of),26.0,17.6,14.7,6.1,5.6,-0.5,-8.2,24.6,22.1,2.7,< 2.5,3.3,3.2,3.4,3.3,10.9,8.5,7.2,6.6,3.1,1.8,1.5,1.4
MNG,Mongolia,26.0,29.7,16.7,7.5,5.6,-1.9,-25.3,30.4,21.9,8.2,< 2.5,7.1,1.7,1.2,1.3,29.8,15.4,7.3,11.5,6.3,3.1,1.8,1.3
MNE,Montenegro,13.0,—,5.7,<5,<5,—,—,—,< 2.5,< 2.5,< 2.5,—,4.2,2.9,2.2,—,7.9,7.7,7.2,—,0.8,0.4,0.3
MAR,Morocco,48.0,15.5,11.7,8.7,9.2,0.5,5.7,5.8,4.8,3.7,6.9,4.0,3.4,2.6,2.3,25.0,18.8,15.1,14.2,5.2,3.5,2.2,1.7
MOZ,Mozambique,107.0,48.3,35.6,38.5,27.5,-11.0,-28.6,36.8,29.0,44.4,24.8,8.1,4.2,4.4,3.8,50.7,43.5,42.3,36.7,17.2,11.4,7.9,6.6
MMR,Myanmar,74.0,40.2,29.9,17.1,15.7,-1.4,-8.2,38.6,18.2,4.2,5.3,10.7,7.9,6.6,6.6,40.8,35.1,29.4,25.2,8.9,10.1,4.9,4.0
NAM,Namibia,86.0,26.5,27.5,20.6,19.7,-0.9,-4.4,15.6,26.5,20.7,22.2,10.0,7.6,6.1,6.2,29.3,29.2,18.0,14.5,7.8,5.5,4.5,3.8
NPL,Nepal,68.0,37.1,29.2,21.2,14.7,-6.5,-30.7,23.9,13.0,5.7,5.7,11.3,12.7,11.7,7.0,56.1,49.1,37.2,24.8,7.9,5.3,3.6,2.7
NIC,Nicaragua,64.0,21.7,17.1,14.0,13.6,-0.4,-2.9,25.9,19.9,18.3,19.6,2.3,1.5,1.3,1.1,25.1,23.1,16.2,14.1,3.8,2.6,1.9,1.5
NER,Niger,121.0,53.1,39.6,32.8,34.1,1.3,4.0,23.2,17.7,12.6,13.3,16.2,13.4,10.4,10.9,53.5,45.4,41.3,47.7,22.8,14.7,12.5,11.7
NGA,Nigeria,110.0,39.5,30.7,30.6,28.8,-1.8,-5.9,8.8,6.7,10.7,18.0,12.5,9.2,9.1,6.5,48.2,39.5,38.3,31.5,18.3,14.1,12.5,10.7
MKD,North Macedonia,14.0,7.6,5.3,5.1,<5,—,—,7.5,2.9,3.5,< 2.5,1.9,2.5,2.3,3.4,8.0,6.6,5.6,4.3,1.6,1.2,1.1,0.5
OMN,Oman,51.0,15.2,11.5,11.9,9.9,-2.0,-16.8,13.3,9.7,7.2,5.7,7.8,7.1,9.3,7.0,15.8,9.8,11.4,10.6,1.6,1.2,1.1,1.1
PAK,Pakistan,109.0,36.6,31.4,24.6,27.9,3.3,13.4,20.7,15.2,11.2,20.7,14.1,11.9,7.1,10.1,41.4,41.1,37.6,33.2,10.8,9.1,7.4,6.1
PAN,Panama,43.0,18.7,12.7,8.1,8.0,-0.1,-1.2,23.6,13.4,6.6,5.6,1.5,1.2,1.0,1.1,23.2,19.0,13.1,15.9,2.6,2.0,1.7,1.3
PNG,Papua New Guinea,110.0,33.7,32.8,30.0,28.8,-1.2,-4.0,26.6,27.5,27.2,27.7,8.1,7.9,7.2,6.9,47.3,46.7,41.6,39.8,7.2,6.1,5.0,4.1
PRY,Paraguay,30.0,11.5,7.5,5.0,6.0,1.0,20.0,9.9,3.4,2.6,4.5,1.6,1.5,1.0,1.2,13.5,11.2,5.6,7.6,3.4,2.7,2.1,1.7
PER,Peru,38.0,21.1,13.7,7.6,7.4,-0.2,-2.6,20.3,10.8,6.4,7.0,1.4,0.8,0.8,0.5,34.5,28.0,12.2,11.7,3.8,2.2,1.7,1.5
PHL,Philippines,67.0,24.9,18.9,17.9,14.4,-3.5,-19.6,18.8,11.3,8.6,5.9,8.0,6.6,6.8,5.4,38.3,32.0,33.1,26.7,3.7,3.1,2.8,2.7
QAT,Qatar,,,,,,—,—,—,—,—,—,1.9,1.4,1.4,1.5,9.1,6.2,5.6,6.2,1.2,1.0,0.7,0.5
ROU,Romania,15.0,7.9,5.7,5.0,<5,—,—,< 2.5,< 2.5,< 2.5,< 2.5,4.3,3.3,3.3,3.1,12.8,10.2,9.4,8.1,2.1,1.4,0.8,0.7
RUS,Russian Federation,16.0,10.4,5.9,5.4,<5,—,—,4.1,< 2.5,< 2.5,< 2.5,4.9,2.9,2.9,2.8,17.4,11.3,11.0,10.3,1.9,1.1,0.8,0.5
RWA,Rwanda,101.0,49.6,36.4,28.6,25.2,-3.4,-11.9,37.7,36.6,33.6,31.4,8.7,5.1,2.2,1.1,47.9,46.6,37.6,33.1,18.5,7.6,4.6,3.8
SAU,Saudi Arabia,37.0,12.7,10.8,9.4,6.9,-2.5,-26.6,5.0,5.3,4.1,3.0,7.0,6.1,4.9,4.5,19.4,16.3,17.1,10.8,2.2,1.4,0.9,0.6
SEN,Senegal,72.0,34.3,22.1,16.1,15.3,-0.8,-5.0,24.4,11.8,8.5,4.6,10.0,8.9,7.1,10.2,26.0,21.7,17.1,17.5,13.0,7.4,4.8,3.7
SRB,Serbia,17.0,—,5.9,<5,<5,—,—,—,2.8,< 2.5,< 2.5,—,4.0,3.9,2.6,—,7.3,6.0,5.4,—,0.8,0.6,0.5
SLE,Sierra Leone,117.0,57.2,45.2,32.8,31.2,-1.6,-4.9,50.1,39.9,24.9,28.4,11.6,7.5,5.9,6.3,35.5,32.7,30.2,26.3,22.5,17.5,12.6,10.1
SVK,Slovakia,18.0,6.0,<5,<5,<5,—,—,6.2,5.1,5.3,3.6,1.1,1.0,1.0,1.0,7.6,5.8,5.5,5.3,1.0,0.7,0.6,0.6
SLB,Solomon Islands,84.0,20.4,18.2,21.7,19.4,-2.3,-10.6,12.6,12.7,17.7,19.4,6.7,4.3,8.5,5.5,35.4,32.8,31.7,27.4,3.1,2.8,2.2,1.8
SOM,Somalia,127.0,63.3,59.0,49.8,44.1,-5.7,-11.4,70.2,70.1,59.5,51.3,19.3,14.3,11.9,11.8,29.2,25.3,25.8,25.6,17.2,16.6,12.9,10.6
ZAF,South Africa,60.0,18.0,16.9,14.0,12.5,-1.5,-10.7,3.7,3.6,6.3,8.1,4.5,5.4,2.5,2.9,30.1,25.0,27.4,17.5,7.1,6.8,3.7,3.5
SSD,South Sudan,*,—,—,—,35–49.9*,—,—,—,—,—,19.6,—,—,—,—,—,—,—,—,—,—,9.9,9.9
LKA,Sri Lanka,56.0,21.7,17.6,15.0,11.3,-3.7,-24.7,16.6,11.0,4.3,4.1,15.9,13.5,15.1,10.8,18.3,18.6,17.3,12.6,1.7,1.2,0.8,0.6
SDN,Sudan,110.0,—,—,28.3,28.8,0.5,1.8,—,—,10.0,11.4,—,—,16.3,17.4,—,—,38.2,39.6,—,—,6.3,5.2
SUR,Suriname,55.0,14.8,10.6,11.0,10.9,-0.1,-0.9,11.1,7.9,9.8,10.1,7.0,5.0,5.5,5.2,14.1,9.7,8.3,9.1,3.1,2.4,2.0,1.7
SYR,Syrian Arab Republic,113.0,13.9,16.9,25.9,30.3,4.4,17.0,7.7,5.5,13.4,34.0,4.9,10.9,14.5,12.0,24.3,28.3,37.6,31.3,2.3,1.9,3.5,2.1
TJK,Tajikistan,65.0,39.9,28.1,16.0,13.7,-2.3,-14.4,40.1,29.9,14.2,8.7,9.4,5.6,3.5,5.1,42.1,34.0,19.6,18.4,8.3,4.6,3.7,3.0
TZA,Tanzania (United Rep. of),94.0,40.5,29.7,25.0,22.7,-2.3,-9.2,32.6,25.0,22.5,23.8,5.6,2.9,4.5,3.1,48.3,43.2,34.5,30.0,12.9,7.7,5.2,4.1
THA,Thailand,52.0,18.9,12.2,9.5,10.1,0.6,6.3,17.4,10.8,7.3,5.6,7.8,4.7,5.4,7.2,22.1,15.7,10.5,12.4,2.1,1.4,1.0,0.8
TLS,Timor-Leste,104.0,—,44.8,29.4,27.0,-2.4,-8.2,42.4,28.8,12.4,15.9,13.7,21.3,12.2,8.3,55.7,57.2,49.2,46.7,—,7.7,6.0,4.9
TGO,Togo,80.0,38.2,28.2,24.4,18.6,-5.8,-23.8,31.5,22.8,20.7,12.8,12.2,6.0,5.7,4.4,28.8,26.9,23.8,21.3,12.0,9.4,7.3,6.0
TTO,Trinidad & Tobago,54.0,10.8,10.6,8.6,10.8,2.2,25.6,9.6,9.4,6.8,12.6,5.2,5.4,4.9,5.0,5.3,5.9,5.3,5.7,2.8,2.4,1.9,1.5
TUN,Tunisia,29.0,10.1,7.4,6.1,5.9,-0.2,-3.3,4.1,3.6,3.1,3.2,2.9,3.4,2.1,2.8,16.8,9.0,8.4,8.1,2.9,2.0,1.7,1.1
TUR,Türkiye,19.0,11.4,6.5,5.4,<5,—,—,3.9,< 2.5,< 2.5,< 2.5,3.0,1.0,1.9,1.7,18.8,12.5,10.0,6.0,3.8,2.1,1.3,1.0
TKM,Turkmenistan,50.0,20.2,14.4,10.5,9.5,-1.0,-9.5,6.4,4.0,3.3,4.1,8.0,7.2,4.2,4.1,27.2,18.9,11.5,7.2,6.9,4.5,4.3,4.0
UGA,Uganda,105.0,36.1,28.5,30.3,27.3,-3.0,-9.9,21.0,19.7,37.5,36.9,5.0,5.3,4.7,3.6,44.9,38.3,29.7,25.4,14.6,8.7,5.3,4.1
UKR,Ukraine,46.0,13.0,6.9,7.2,8.6,1.4,19.4,3.0,< 2.5,< 2.5,5.8,8.2,2.4,2.5,2.5,22.9,16.3,16.8,16.5,1.8,1.3,0.9,0.9
ARE,United Arab Emirates,20.0,5.1,6.3,<5,<5,—,—,3.3,7.5,4.4,2.7,3.5,3.0,3.1,2.9,3.0,2.5,2.8,2.4,1.1,0.9,0.7,0.5
URY,Uruguay,21.0,7.6,5.3,<5,<5,—,—,3.2,< 2.5,< 2.5,< 2.5,1.8,1.5,0.9,1.3,15.3,11.8,10.8,9.1,1.7,1.2,0.8,0.7
UZB,Uzbekistan,22.0,24.3,13.2,5.9,<5,—,—,18.0,6.4,< 2.5,< 2.5,9.0,4.4,1.8,2.4,24.9,19.6,10.8,6.5,6.2,3.6,1.9,1.3
VEN,Venezuela (Boliv. Rep. of),71.0,14.3,8.7,14.4,15.1,0.7,4.9,14.1,2.6,17.2,17.6,3.9,4.5,3.6,3.7,17.4,14.6,12.2,14.4,2.2,1.7,2.4,2.4
VNM,Viet Nam,56.0,26.1,20.1,14.4,11.3,-3.1,-21.5,19.5,12.7,7.5,5.2,9.0,9.4,6.1,4.7,42.5,30.8,24.3,19.5,3.0,2.4,2.2,2.0
YEM,Yemen,126.0,41.6,36.8,39.6,41.2,1.6,4.0,24.4,23.7,41.3,39.5,16.2,13.8,13.0,16.8,57.0,57.0,44.5,48.5,9.3,6.0,4.8,4.1
ZMB,Zambia,115.0,53.1,41.3,32.6,30.7,-1.9,-5.8,50.1,45.4,32.3,35.4,5.9,5.6,6.2,4.2,59.2,45.8,40.0,34.6,15.6,8.8,6.5,5.6
ZWE,Zimbabwe,108.0,35.3,29.9,28.5,27.6,-0.9,-3.2,32.8,27.2,35.5,38.1,8.3,2.4,3.3,2.9,33.8,35.1,27.1,23.5,9.4,9.3,5.7,4.8
